departamento,anio,franja_horaria,siniestros
AMAZONAS,2017,02:01 A 04:00,15
AMAZONAS,2017,04:01 A 06:00,23
AMAZONAS,2017,06:01 A 08:00,34
AMAZONAS,2017,08:01 A 10:00,52
AMAZONAS,2017,10:01 A 12:00,38
AMAZONAS,2017,12:01 A 14:00,35
AMAZONAS,2017,14:01 A 16:00,52
AMAZONAS,2017,16:01 A 18:00,36
AMAZONAS,2017,18:01 A 20:00,53
AMAZONAS,2017,20:01 A 22:00,45
AMAZONAS,2017,22:01 A 24:00,28
AMAZONAS,2018,00:01 A 02:00,6
AMAZONAS,2018,02:01 A 04:00,6
AMAZONAS,2018,04:01 A 06:00,17
AMAZONAS,2018,06:01 A 08:00,36
AMAZONAS,2018,08:01 A 10:00,39
AMAZONAS,2018,10:01 A 12:00,24
AMAZONAS,2018,12:01 A 14:00,45
AMAZONAS,2018,14:01 A 16:00,26
AMAZONAS,2018,16:01 A 18:00,35
AMAZONAS,2018,18:01 A 20:00,56
AMAZONAS,2018,20:01 A 22:00,37
AMAZONAS,2018,22:01 A 24:00,35
AMAZONAS,2019,00:01 A 02:00,18
AMAZONAS,2019,02:01 A 04:00,13
AMAZONAS,2019,04:01 A 06:00,27
AMAZONAS,2019,06:01 A 08:00,43
AMAZONAS,2019,08:01 A 10:00,56
AMAZONAS,2019,10:01 A 12:00,57
AMAZONAS,2019,12:01 A 14:00,50
AMAZONAS,2019,14:01 A 16:00,57
AMAZONAS,2019,16:01 A 18:00,59
AMAZONAS,2019,18:01 A 20:00,51
AMAZONAS,2019,20:01 A 22:00,44
AMAZONAS,2019,22:01 A 24:00,26
AMAZONAS,2020,00:01 A 02:00,5
AMAZONAS,2020,02:01 A 04:00,6
AMAZONAS,2020,04:01 A 06:00,17
AMAZONAS,2020,06:01 A 08:00,42
AMAZONAS,2020,08:01 A 10:00,48
AMAZONAS,2020,10:01 A 12:00,44
AMAZONAS,2020,12:01 A 14:00,39
AMAZONAS,2020,14:01 A 16:00,36
AMAZONAS,2020,16:01 A 18:00,57
AMAZONAS,2020,18:01 A 20:00,56
AMAZONAS,2020,20:01 A 22:00,24
AMAZONAS,2020,22:01 A 24:00,13
AMAZONAS,2021,00:01 A 02:00,12
AMAZONAS,2021,02:01 A 04:00,18
AMAZONAS,2021,04:01 A 06:00,22
AMAZONAS,2021,06:01 A 08:00,50
AMAZONAS,2021,08:01 A 10:00,37
AMAZONAS,2021,10:01 A 12:00,56
AMAZONAS,2021,12:01 A 14:00,44
AMAZONAS,2021,14:01 A 16:00,37
AMAZONAS,2021,16:01 A 18:00,76
AMAZONAS,2021,18:01 A 20:00,61
AMAZONAS,2021,20:01 A 22:00,34
AMAZONAS,2021,22:01 A 24:00,26
AMAZONAS,2022,00:01 A 02:00,24
AMAZONAS,2022,02:01 A 04:00,28
AMAZONAS,2022,04:01 A 06:00,29
AMAZONAS,2022,06:01 A 08:00,38
AMAZONAS,2022,08:01 A 10:00,84
AMAZONAS,2022,10:01 A 12:00,56
AMAZONAS,2022,12:01 A 14:00,41
AMAZONAS,2022,14:01 A 16:00,49
AMAZONAS,2022,16:01 A 18:00,60
AMAZONAS,2022,18:01 A 20:00,39
AMAZONAS,2022,20:01 A 22:00,45
AMAZONAS,2022,22:01 A 24:00,21
AMAZONAS,2023,00:01 A 02:00,17
AMAZONAS,2023,02:01 A 04:00,13
AMAZONAS,2023,04:01 A 06:00,31
AMAZONAS,2023,06:01 A 08:00,36
AMAZONAS,2023,08:01 A 10:00,66
AMAZONAS,2023,10:01 A 12:00,47
AMAZONAS,2023,12:01 A 14:00,59
AMAZONAS,2023,14:01 A 16:00,49
AMAZONAS,2023,16:01 A 18:00,65
AMAZONAS,2023,18:01 A 20:00,67
AMAZONAS,2023,20:01 A 22:00,45
AMAZONAS,2023,22:01 A 24:00,19
AMAZONAS,2024,00:01 A 02:00,25
AMAZONAS,2024,02:01 A 04:00,20
AMAZONAS,2024,04:01 A 06:00,26
AMAZONAS,2024,06:01 A 08:00,54
AMAZONAS,2024,08:01 A 10:00,46
AMAZONAS,2024,10:01 A 12:00,37
AMAZONAS,2024,12:01 A 14:00,43
AMAZONAS,2024,14:01 A 16:00,63
AMAZONAS,2024,16:01 A 18:00,64
AMAZONAS,2024,18:01 A 20:00,70
AMAZONAS,2024,20:01 A 22:00,44
AMAZONAS,2024,22:01 A 24:00,21
ANCASH,2008,08:00 A 14:00,604
ANCASH,2008,14:00 A 20:00,641
ANCASH,2008,20:00 A 02:00,686
ANCASH,2008,02:00 A 08:00,332
ANCASH,2009,08:00 A 14:00,550
ANCASH,2009,14:00 A 20:00,604
ANCASH,2009,20:00 A 02:00,268
ANCASH,2009,02:00 A 08:00,194
ANCASH,2010,08:00 A 14:00,503
ANCASH,2010,14:00 A 20:00,551
ANCASH,2010,20:00 A 02:00,598
ANCASH,2010,02:00 A 08:00,293
ANCASH,2011,08:00 A 14:00,624
ANCASH,2011,14:00 A 20:00,678
ANCASH,2011,20:00 A 02:00,530
ANCASH,2011,02:00 A 08:00,435
ANCASH,2012,08:00 A 14:00,590
ANCASH,2012,14:00 A 20:00,749
ANCASH,2012,20:00 A 02:00,564
ANCASH,2012,02:00 A 08:00,395
ANCASH,2013,08:00 A 14:00,563
ANCASH,2013,14:00 A 20:00,658
ANCASH,2013,20:00 A 02:00,577
ANCASH,2013,02:00 A 08:00,678
ANCASH,2014,08:00 A 14:00,598
ANCASH,2014,14:00 A 20:00,657
ANCASH,2014,20:00 A 02:00,847
ANCASH,2014,02:00 A 08:00,375
ANCASH,2015,00:01 A 02:00,105
ANCASH,2015,02:01 A 04:00,168
ANCASH,2015,04:01 A 06:00,154
ANCASH,2015,06:01 A 08:00,142
ANCASH,2015,08:01 A 10:00,172
ANCASH,2015,10:01 A 12:00,104
ANCASH,2015,12:01 A 14:00,111
ANCASH,2015,14:01 A 16:00,214
ANCASH,2015,16:01 A 18:00,133
ANCASH,2015,18:01 A 20:00,139
ANCASH,2015,20:01 A 22:00,183
ANCASH,2015,22:01 A 24:00,72
ANCASH,2016,00:01 A 02:00,101
ANCASH,2016,02:01 A 04:00,148
ANCASH,2016,04:01 A 06:00,129
ANCASH,2016,06:01 A 08:00,146
ANCASH,2016,08:01 A 10:00,166
ANCASH,2016,10:01 A 12:00,77
ANCASH,2016,12:01 A 14:00,128
ANCASH,2016,14:01 A 16:00,215
ANCASH,2016,16:01 A 18:00,100
